[2025-08-22 19:24:15] local.ERROR: Error fetching yet to bat players {"message":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'team_id' in 'where clause' (SQL: select `player_id` from `match_players` where `match_id` = 14 and `team_id` = 7 and (`runs_scored` is not null or `balls_faced` is not null))","line":712} 
[2025-08-22 19:24:46] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:24:47] local.ERROR: Error fetching yet to bat players {"message":"SQLSTATE[42S22]: Column not found: 1054 Unknown column 'team_id' in 'where clause' (SQL: select `player_id` from `match_players` where `match_id` = 14 and `team_id` = 7 and (`runs_scored` is not null or `balls_faced` is not null))","line":712} 
[2025-08-22 19:28:24] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:29:41] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:29:52] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:30:02] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:32:35] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:33:29] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:34:36] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:34:55] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:36:24] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:36:39] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:37:23] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:38:16] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:39:01] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:40:06] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:40:48] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:41:24] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:41:56] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:42:52] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:43:22] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:44:35] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:48:00] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:48:07] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:48:26] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:48:36] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:49:04] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:49:13] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:49:19] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
[2025-08-22 19:49:45] local.WARNING: User image not found {"user_id":2,"image_path":"uploads/users/user_1751921240.jpeg"} 
